electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum,scraperID
2004,14431,02810,58,088,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=088&comboTribunal=am,125
2004,14431,02810,36,065,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=065&comboTribunal=am,126
2004,14431,02810,13,039,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=039&comboTribunal=am,127
2004,14431,02810,9,035,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=035&comboTribunal=am,128
2004,14431,02810,26,053,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=053&comboTribunal=am,129
2004,14431,02810,28,055,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=055&comboTribunal=am,130
2004,14431,02810,69,101,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=101&comboTribunal=am,131
2004,14431,98493,159,202,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=202&comboTribunal=am,132
2004,14431,98493,160,0203,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=0203&comboTribunal=am,133
2004,14431,02852,86,14004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=105/2004&comboTribunal=am,134
2004,14431,06130,204,1804/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=037/2004&comboTribunal=ap,135
2004,14431,06130,205,1803/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=36&comboTribunal=ap,136
2004,14431,06076,19,060/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1465&comboTribunal=ap,137
2004,14431,06092,1,164/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ap,138
2004,14431,06092,2,165/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ap,139
2004,14431,06009,38,387/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=48&comboTribunal=ap,140
2004,14431,33073,264,0288,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=4442&comboTribunal=ba,141
2004,14431,33073,266,0290,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=4444&comboTribunal=ba,142
2004,14431,33073,267,0291,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=4445&comboTribunal=ba,143
2004,14431,33073,260,0284,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=4438&comboTribunal=ba,144
2004,14431,33111,294,987,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=403&comboTribunal=ba,145
2004,14431,33138,61,1083,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,146
2004,14431,33138,118,1138,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,147
2004,14431,33138,62,1084,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,148
2004,14431,33138,119,1139,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,149
2004,14431,33138,176,1199,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,150
2004,14431,33138,177,1200,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,151
2004,14431,33197,186,17-24/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=46/2004&comboTribunal=ba,152
2004,14431,33219,261,037/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=033/04&comboTribunal=ba,153
2004,14431,33383,340,1368,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,154
2004,14431,33413,81,100,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=270&comboTribunal=ba,155
2004,14431,33413,108,121,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=292&comboTribunal=ba,156
2004,14431,30732,206,128,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,157
2004,14431,33499,149,9.9/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=429/04&comboTribunal=ba,158
2004,14431,33499,146,9.10/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=430/04&comboTribunal=ba,159
2004,14431,33570,209,180,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=180&comboTribunal=ba,160
2004,14431,33693,14,2.14B/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=2&comboTribunal=ba,161
2004,14431,33812,132,164/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=040/2004&comboTribunal=ba,162
2004,14431,33812,131,154/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=040/2004&comboTribunal=ba,163
2004,14431,33855,234,18-10/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=49/2004&comboTribunal=ba,164
2004,14431,33952,189,013,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=013&comboTribunal=ba,165
2004,14431,33952,190,014,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=014&comboTribunal=ba,166
2004,14431,33952,187,011,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=011&comboTribunal=ba,167
2004,14431,33952,206,020,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=020&comboTribunal=ba,168
2004,14431,33952,188,012,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=012&comboTribunal=ba,169
2004,14431,33952,191,015,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=015&comboTribunal=ba,170
2004,14431,33952,192,016,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=016&comboTribunal=ba,171
2004,14431,34010,160,223,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=14&comboTribunal=ba,172
2004,14431,34010,176,238,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=14&comboTribunal=ba,173
