,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
0,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
4246,2008,14422,23167,15169,46/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=25/2008&comboTribunal=pe
4247,2008,14422,23167,15170,45/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=24/2008&comboTribunal=pe
4248,2008,14422,23167,15171,43/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=22/2008&comboTribunal=pe
4249,2008,14422,23167,15172,44/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=23/2008&comboTribunal=pe
4250,2008,14422,23167,15173,41/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=20/2008&comboTribunal=pe
4251,2008,14422,23167,15174,40/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=19/2008&comboTribunal=pe
4252,2008,14422,23850,10893,821/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=283&comboTribunal=pe
4253,2008,14422,24155,11918,602/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=187/2008&comboTribunal=pe
4254,2008,14422,24198,5883,140/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=67&comboTribunal=pe
4255,2008,14422,24317,9119,15/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=169&comboTribunal=pe
4256,2008,14422,24490,6028,0063/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=046/2008&comboTribunal=pe
4257,2008,14422,23124,10664,64/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=42&comboTribunal=pe
4258,2008,14422,24651,1256,151/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=129&comboTribunal=pe
4259,2008,14422,24830,1963,602/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=602/2008&comboTribunal=pe
4260,2008,14422,24830,1964,603/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=603/2008&comboTribunal=pe
4261,2008,14422,24899,6193,148,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=113&comboTribunal=pe
4262,2008,14422,24899,6196,149,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=114&comboTribunal=pe
